2026-01-19 14:46:33.475 | INFO     | __main__:main:104 - 共找到 1 篇论文待处理。
2026-01-19 14:46:33.475 | INFO     | __main__:main:105 - 本项目已在github开源, 仓库地址:https://github.com/SimCr/PaperWorkflow
2026-01-19 14:46:33.476 | INFO     | __main__:process_single_paper:43 - 正在处理子目录 [4668] 下pdf, 处理模式: deep_read
2026-01-19 14:46:33.477 | INFO     | utils.pdf_handler:convert_to_markdown:40 - Converting PDF: 2601.11319v1 using api
2026-01-19 14:46:33.477 | INFO     | utils.pdf_api_handler:process:45 - 第1/2步:Requesting upload URL for 2601.11319v1...
2026-01-19 14:46:33.733 | INFO     | utils.pdf_api_handler:process:63 - Got batch_id: 8da340ed-6f8b-4929-8694-e99a71e1e2dd. Uploading to: https://mineru.oss-cn-shanghai...
2026-01-19 14:46:34.568 | INFO     | utils.pdf_api_handler:process:71 - 文件上传成功. 开始获取任务情况...
2026-01-19 14:46:34.568 | INFO     | utils.pdf_api_handler:process:82 - Submitting extraction task for batch 8da340ed-6f8b-4929-8694-e99a71e1e2dd...
2026-01-19 14:46:34.811 | DEBUG    | utils.pdf_api_handler:process:91 - Extraction Submission Result: {'code': 0, 'msg': 'ok', 'trace_id': 'a2f69087b974aaa4aa1691599a9503d8', 'data': {'batch_id': 'eeb4a1d2-36e4-491c-bea3-d525155eadf9', 'file_urls': ['https://mineru.oss-cn-shanghai.aliyuncs.com/api-upload/extract/2026-01-19/eeb4a1d2-36e4-491c-bea3-d525155eadf9/dab21cbb-b5a8-489a-a838-d907998ced2d.pdf?Expires=1768891594&OSSAccessKeyId=LTAI5t9nGwatk85zetzojXbn&Signature=1mvSHFUveJ7VxP4HVVeAqSHHLYc%3D']}}
2026-01-19 14:46:44.812 | INFO     | utils.pdf_api_handler:_poll_result:107 - 10s 尝试提取batch 8da340ed-6f8b-4929-8694-e99a71e1e2dd中md，第 1/60 次...
2026-01-19 14:46:45.059 | INFO     | utils.pdf_api_handler:_poll_result:143 - 提取成功!正在下载 https://cdn-mineru.openxlab.or...
2026-01-19 14:46:45.686 | INFO     | utils.pdf_api_handler:_poll_result:151 - 已保存zip结果到 G:/0_Project/Race/DFT/PaperWorkflow/temp_markdowns\2601.11319v1\2601.11319v1_result.zip。正在解压...
2026-01-19 14:46:45.998 | WARNING  | utils.pdf_handler:_read_result:83 - Markdown file not found in common paths, checking subfolders of G:/0_Project/Race/DFT/PaperWorkflow/temp_markdowns\2601.11319v1...
2026-01-19 14:46:45.998 | INFO     | utils.pdf_handler:_read_result:98 - Found markdown file (fallback) at: G:/0_Project/Race/DFT/PaperWorkflow/temp_markdowns\2601.11319v1\full.md
2026-01-19 14:46:45.998 | DEBUG    | __main__:process_single_paper:57 - [4668] PDF converted in 12.52s
2026-01-19 14:46:45.998 | INFO     | utils.llm_handler:summarize:22 - 第2/2步:Sending request to LLM gemini-3-pro-preview...
2026-01-19 14:47:31.505 | SUCCESS  | __main__:process_single_paper:75 - [4668] Summary saved to g:/0_Project/Race/DFT/PaperWorkflow/INput/4668\Summary_deep_read_2601.11319v1.md
